project_a,project_b,error_rate_a,error_rate_b,f1_score_a,f1_score_b,fairness_gap,p_value,is_fair,disparate_impact,pos_rate_a,pos_rate_b,samples_a,samples_b,perf_bugs_a,perf_bugs_b
tensorflow,pytorch,0.0,0.0,1.0,1.0,0.0,1.0,True,0.6699640287769784,0.1865771812080537,0.125,1490,752,278,94
tensorflow,keras,0.0,0.0,1.0,1.0,0.0,1.0,True,0.9301011719923871,0.1865771812080537,0.20059880239520958,1490,668,278,134
tensorflow,mxnet,0.0,0.0,1.0,1.0,0.0,1.0,True,0.6751575483799007,0.1865771812080537,0.12596899224806202,1490,516,278,65
tensorflow,caffe,0.0,0.0,1.0,1.0,0.0,1.0,True,0.5996880817024702,0.1865771812080537,0.11188811188811189,1490,286,278,32
pytorch,keras,0.0,0.0,1.0,1.0,0.0,1.0,True,0.6231343283582089,0.125,0.20059880239520958,752,668,94,134
pytorch,mxnet,0.0,0.0,1.0,1.0,0.0,1.0,True,0.9923076923076923,0.125,0.12596899224806202,752,516,94,65
pytorch,caffe,0.0,0.0,1.0,1.0,0.0,1.0,True,0.8951048951048951,0.125,0.11188811188811189,752,286,94,32
keras,mxnet,0.0,0.0,1.0,1.0,0.0,1.0,True,0.6279648270276524,0.20059880239520958,0.12596899224806202,668,516,134,65
keras,caffe,0.0,0.0,1.0,1.0,0.0,1.0,True,0.5577705876213339,0.20059880239520958,0.11188811188811189,668,286,134,32
mxnet,caffe,0.0,0.0,1.0,1.0,0.0,1.0,True,0.8882194728348575,0.12596899224806202,0.11188811188811189,516,286,65,32
